,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d
20,4.0026684456304205,0.5,0.2,0.625,0.375,0.047528362257495425,0.9513039789477917,0.00020388390110050308,0.0009637748936120336
21,4.202801867911941,0.5,0.2,0.625,0.375,0.04575251993024962,0.9530157486448313,0.00021630863042224977,0.0010154227944964632
22,4.402935290193462,0.5,0.2,0.625,0.375,0.04404041374838929,0.9546601786656633,0.0002292635824993446,0.001070144003447737
23,4.603068712474983,0.5,0.2,0.625,0.375,0.04239000532100582,0.9562390897412307,0.00024277171774622823,0.0011281332200169167
24,4.803202134756504,0.5,0.2,0.625,0.375,0.04079930781308435,0.9577542371098765,0.0002568572240511794,0.0011895978529876308
25,5.003335557038025,0.5,0.2,0.625,0.375,0.03926638483340435,0.9592073094398901,0.00027154562340708777,0.0012547601032981822
26,5.203468979319546,0.5,0.2,0.625,0.375,0.037789348580175436,0.9605999328568826,0.0002868636332535296,0.0013238549296880299
27,5.403602401601067,0.5,0.2,0.625,0.375,0.03636636075682074,0.9619336650357472,0.00030283945252654445,0.0013971347549052145
28,5.603735823882588,0.5,0.2,0.625,0.375,0.034995632170554014,0.9632099987854577,0.0003195025806931842,0.00147486646329483
29,5.803869246164109,0.5,0.2,0.625,0.375,0.03367542180180435,0.9644303562409838,0.0003368841795951873,0.0015573377776163025
30,6.00400266844563,0.5,0.2,0.625,0.375,0.03240403773699466,0.96559609337936,0.0003550167830111458,0.001644852100633877
31,6.204136090727151,0.5,0.2,0.625,0.375,0.03117983685040425,0.9667084991736624,0.0003739343563892145,0.0017377296195439326
32,6.404269513008672,0.5,0.2,0.625,0.375,0.03000122122400955,0.9677687861724074,0.0003936729633921165,0.0018363196401907983
33,6.604402935290193,0.5,0.2,0.625,0.375,0.02886664117490899,0.9687780981919759,0.0004142702177272164,0.0019409904153875862
34,6.804536357571714,0.5,0.2,0.625,0.375,0.02777459498372996,0.9697375099955048,0.0004357653101435062,0.0020521297106214304
35,7.004669779853235,0.5,0.2,0.625,0.375,0.02672362293695039,0.9706480171993085,0.0004581997839580433,0.002170160079782718
36,7.204803202134756,0.5,0.2,0.625,0.375,0.025712311809794396,0.9715105435265813,0.00048161697202024314,0.0022955276916037676
37,7.404936624416277,0.5,0.2,0.625,0.375,0.024739294963897145,0.9723259410115183,0.0005060619782974252,0.0024287020462868195
38,7.605070046697798,0.5,0.2,0.625,0.375,0.023803244695040707,0.973094978383775,0.0005315825367342464,0.0025701943844496917
39,7.805203468979319,0.5,0.2,0.625,0.375,0.02290287740077617,0.9738183488467091,0.0005582284400372725,0.0027205453124770863
40,8.005336891260841,0.5,0.2,0.625,0.375,0.022036954246274693,0.9744966710171109,0.0005860514656735118,0.0028803232709404777
41,8.205470313542362,0.5,0.2,0.625,0.375,0.021204272431508037,0.9751304744953959,0.0006151063329470932,0.0030501467401485424
42,8.405603735823883,0.5,0.2,0.625,0.375,0.020403670463794387,0.9757202087000184,0.0006454501259350031,0.003230670710251709
43,8.605737158105404,0.5,0.2,0.625,0.375,0.019634029542531014,0.9762662451117065,0.0006771421424378637,0.0034225832033241005
44,8.805870580386925,0.5,0.2,0.625,0.375,0.018894265131927247,0.9767688610362465,0.0007102448304103637,0.0036266290014152804
45,9.006004002668446,0.5,0.2,0.625,0.375,0.01818332994642099,0.9772282455142368,0.0007448234551752796,0.0038436010841663435
46,9.206137424949967,0.5,0.2,0.625,0.375,0.01750021474285905,0.9776444997443847,0.0007809460252341276,0.004074339487521488
47,9.406270847231488,0.5,0.2,0.625,0.375,0.01684394404589633,0.9780176263301865,0.000818683797013018,0.004319745826903572
48,9.606404269513009,0.5,0.2,0.625,0.375,0.016213579800429843,0.9783475392457102,0.0008581108332887721,0.004580770120570742
49,9.80653769179453,0.5,0.2,0.625,0.375,0.015608215136910233,0.9786340456139732,0.0008993047582367988,0.004858434490879351
50,10.00667111407605,0.5,0.2,0.625,0.375,0.015026977204922055,0.9788768541109037,0.0009423464141423199,0.005153822270031415
