,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d,R0
0,0.0,0.41666666666666663,0.2,0.5,0.5,0.95795,0.04165,0.00038333333333333334,1.6666666666666664e-05,0.9614804864936549
1,0.200133422281521,0.41666666666666663,0.2,0.5,0.5,0.9563307216214756,0.04327763971274424,0.00037531802908214227,1.6320636697967477e-05,0.9614804864936549
2,0.400266844563042,0.41666666666666663,0.2,0.5,0.5,0.9546507069657564,0.044965835954699475,0.000367470354971744,1.598672457239922e-05,0.9614804864936549
3,0.600400266844563,0.41666666666666663,0.2,0.5,0.5,0.9529078785857672,0.046716669952652314,0.0003597868312198448,1.5664630360474692e-05,0.9614804864936549
4,0.800533689126084,0.41666666666666663,0.2,0.5,0.5,0.9511001935807829,0.04853218814571443,0.00035226419619965806,1.535407730288033e-05,0.9614804864936549
5,1.0006671114076051,0.41666666666666663,0.2,0.5,0.5,0.94922554036639,0.050414505629601,0.0003448992098976869,1.5054794111108172e-05,0.9614804864936549
6,1.200800533689126,0.41666666666666663,0.2,0.5,0.5,0.9472817579953126,0.05236578678803237,0.000337688697654875,1.4766518999925299e-05,0.9614804864936549
7,1.400933955970647,0.41666666666666663,0.2,0.5,0.5,0.9452666383471245,0.05438824310625495,0.00033062954734576987,1.4488999274460463e-05,0.9614804864936549
8,1.601067378252168,0.41666666666666663,0.2,0.5,0.5,0.9431779287397375,0.05648413056381592,0.00032371870571351174,1.4221990732846665e-05,0.9614804864936549
9,1.801200800533689,0.41666666666666663,0.2,0.5,0.5,0.9410133250411291,0.05865575651207731,0.0003169531877400463,1.396525905327699e-05,0.9614804864936549
10,2.0013342228152102,0.41666666666666663,0.2,0.5,0.5,0.9387704866230525,0.06090546474213737,0.00031033005780902617,1.3718577000805687e-05,0.9614804864936549
11,2.201467645096731,0.41666666666666663,0.2,0.5,0.5,0.9364470282444887,0.06323564358880117,0.000303846440661083,1.3481726048791222e-05,0.9614804864936549
12,2.401601067378252,0.41666666666666663,0.2,0.5,0.5,0.9340405250026783,0.06564872098402146,0.00029749951750585886,1.3254495794069283e-05,0.9614804864936549
13,2.601734489659773,0.41666666666666663,0.2,0.5,0.5,0.9315485122175763,0.06814716457236501,0.00029128652607653203,1.3036683981875561e-05,0.9614804864936549
14,2.801867911941294,0.41666666666666663,0.2,0.5,0.5,0.9289684903847585,0.07073347676129554,0.00028520475783829185,1.2828096107467558e-05,0.9614804864936549
15,3.002001334222815,0.41666666666666663,0.2,0.5,0.5,0.9262979260156549,0.07341019388055314,0.0002792515583079279,1.2628545483882688e-05,0.9614804864936549
16,3.202134756504336,0.41666666666666663,0.2,0.5,0.5,0.92353425599886,0.0761798818230854,0.00027342432507929896,1.2437852975154016e-05,0.9614804864936549
17,3.402268178785857,0.41666666666666663,0.2,0.5,0.5,0.9206748857022802,0.07904513794225276,0.0002677205084019947,1.2255847064834127e-05,0.9614804864936549
18,3.602401601067378,0.41666666666666663,0.2,0.5,0.5,0.9177171998366788,0.08200858019094247,0.0002621376087533521,1.208236362514699e-05,0.9614804864936549
19,3.802535023348899,0.41666666666666663,0.2,0.5,0.5,0.9146585646301109,0.0850728449488406,0.00025667317535140843,1.191724569683456e-05,0.9614804864936549
20,4.0026684456304205,0.41666666666666663,0.2,0.5,0.5,0.9114963300325409,0.08824058481906559,0.0002513248050585224,1.1760343334743352e-05,0.9614804864936549
21,4.202801867911941,0.41666666666666663,0.2,0.5,0.5,0.9082278349839289,0.09151446335733589,0.00024609014466411985,1.1611514070902703e-05,0.9614804864936549
22,4.402935290193462,0.41666666666666663,0.2,0.5,0.5,0.9048504114374193,0.09489715105278272,0.0002409668874039019,1.1470622393796136e-05,0.9614804864936549
23,4.603068712474983,0.41666666666666663,0.2,0.5,0.5,0.9013613900235243,0.09839131966475463,0.00023595277203942606,1.1337539681355006e-05,0.9614804864936549
24,4.803202134756504,0.41666666666666663,0.2,0.5,0.5,0.8977581105766185,0.10199963169630227,0.0002310455827343876,1.1212144344603243e-05,0.9614804864936549
25,5.003335557038025,0.41666666666666663,0.2,0.5,0.5,0.8940379215730361,0.10572474095767825,0.00022624314769720215,1.1094321588291445e-05,0.9614804864936549
26,5.203468979319546,0.41666666666666663,0.2,0.5,0.5,0.8901981899150215,0.1095692827830394,0.0002215433384992496,1.0983963439688503e-05,0.9614804864936549
27,5.403602401601067,0.41666666666666663,0.2,0.5,0.5,0.8862363119863786,0.11353586297542756,0.00021694406940088662,1.0880968792759054e-05,0.9614804864936549
28,5.603735823882588,0.41666666666666663,0.2,0.5,0.5,0.8821497135661094,0.11762705789440692,0.0002124432962496398,1.0785243233860688e-05,0.9614804864936549
29,5.803869246164109,0.41666666666666663,0.2,0.5,0.5,0.877935862904445,0.1218454013805681,0.0002080390158609051,1.0696699125832739e-05,0.9614804864936549
30,6.00400266844563,0.41666666666666663,0.2,0.5,0.5,0.8735922813396445,0.12619337413940362,0.00020372926530753792,1.0615255644119434e-05,0.9614804864936549
31,6.204136090727151,0.41666666666666663,0.2,0.5,0.5,0.8691165444584524,0.13067340258205004,0.00019951212087446788,1.0540838622935068e-05,0.9614804864936549
32,6.404269513008672,0.41666666666666663,0.2,0.5,0.5,0.8645063021998729,0.1352878387216986,0.00019538569764625247,1.0473380782140122e-05,0.9614804864936549
33,6.604402935290193,0.41666666666666663,0.2,0.5,0.5,0.8597592810845294,0.14003895794535556,0.00019134814852012286,1.0412821594821583e-05,0.9614804864936549
34,6.804536357571714,0.41666666666666663,0.2,0.5,0.5,0.8548732915362786,0.14492895169308298,0.00018739766338118783,1.0359107257237763e-05,0.9614804864936549
35,7.004669779853235,0.41666666666666663,0.2,0.5,0.5,0.849846239605326,0.1499599157355085,0.00018353246841802838,1.0312190747328423e-05,0.9614804864936549
36,7.204803202134756,0.41666666666666663,0.2,0.5,0.5,0.844676145350201,0.15513383179206966,0.00017975082565685862,1.0272032072448104e-05,0.9614804864936549
37,7.404936624416277,0.41666666666666663,0.2,0.5,0.5,0.8393611547910103,0.1604525555783619,0.00017605103228846553,1.0238598339332905e-05,0.9614804864936549
38,7.605070046697798,0.41666666666666663,0.2,0.5,0.5,0.8338995456742507,0.16591781104230072,0.0001724314197957149,1.0211863652793715e-05,0.9614804864936549
39,7.805203468979319,0.41666666666666663,0.2,0.5,0.5,0.8282897446922397,0.17153117314498698,0.000168890353453339,1.019180931990661e-05,0.9614804864936549
40,8.005336891260841,0.41666666666666663,0.2,0.5,0.5,0.8225303355049096,0.17729405983964908,0.00016542623155731153,1.0178423883904797e-05,0.9614804864936549
41,8.205470313542362,0.41666666666666663,0.2,0.5,0.5,0.8166200596767955,0.18320773113568456,0.00016203748445778763,1.0171703061964486e-05,0.9614804864936549
42,8.405603735823883,0.41666666666666663,0.2,0.5,0.5,0.8105578439947211,0.1892732617808691,0.00015872257434311316,1.0171650066532886e-05,0.9614804864936549
43,8.605737158105404,0.41666666666666663,0.2,0.5,0.5,0.8043428081298882,0.19549153359995508,0.00015547999448707863,1.0178275669481501e-05,0.9614804864936549
44,8.805870580386925,0.41666666666666663,0.2,0.5,0.5,0.7979742795745302,0.20186322055807912,0.00015230826884486388,1.0191598545716615e-05,0.9614804864936549
45,9.006004002668446,0.41666666666666663,0.2,0.5,0.5,0.7914518048858877,0.20838877751749713,0.00014920595132259128,1.0211645292444173e-05,0.9614804864936549
46,9.206137424949967,0.41666666666666663,0.2,0.5,0.5,0.784775163077541,0.21506842684661548,0.00014617162522292737,1.0238450620461853e-05,0.9614804864936549
47,9.406270847231488,0.41666666666666663,0.2,0.5,0.5,0.7779443719059232,0.22190215213398815,0.00014320390258021245,1.0272057508287702e-05,0.9614804864936549
48,9.606404269513009,0.41666666666666663,0.2,0.5,0.5,0.7709596998507056,0.22888968620828967,0.0001403014236004964,1.0312517404197646e-05,0.9614804864936549
49,9.80653769179453,0.41666666666666663,0.2,0.5,0.5,0.7638216830465785,0.23603049420672403,0.0001374628562091254,1.0359890488326766e-05,0.9614804864936549
50,10.00667111407605,0.41666666666666663,0.2,0.5,0.5,0.756531132441362,0.2433237664172255,0.00013468689549388932,1.0414245918519212e-05,0.9614804864936549
51,10.206804536357572,0.41666666666666663,0.2,0.5,0.5,0.7490891389519743,0.2507684131225769,0.00013197226325861093,1.0475662190116042e-05,0.9614804864936549
52,10.406937958639093,0.41666666666666663,0.2,0.5,0.5,0.7414970898907048,0.25836304817456246,0.00012931770743827167,1.0544227294385095e-05,0.9614804864936549
53,10.607071380920614,0.41666666666666663,0.2,0.5,0.5,0.7337566760794999,0.2661059818798129,0.0001267220016316327,1.0620039055439575e-05,0.9614804864936549
54,10.807204803202135,0.41666666666666663,0.2,0.5,0.5,0.7258698919767657,0.2739952208731558,0.00012418394456410707,1.0703205514229116e-05,0.9614804864936549
55,11.007338225483656,0.41666666666666663,0.2,0.5,0.5,0.7178390482472999,0.28202845554781353,0.00012170235965364806,1.0793845232679576e-05,0.9614804864936549
56,11.207471647765177,0.41666666666666663,0.2,0.5,0.5,0.7096667788537354,0.29020305296405924,0.0001192760945522146,1.0892087652876922e-05,0.9614804864936549
57,11.407605070046698,0.41666666666666663,0.2,0.5,0.5,0.7013560390417877,0.2985160588639533,0.00011690402069586167,1.0998073562943704e-05,0.9614804864936549
58,11.607738492328219,0.41666666666666663,0.2,0.5,0.5,0.692910107200169,0.3069641958114257,0.00011458503286895501,1.1111955536202554e-05,0.9614804864936549
59,11.80787191460974,0.41666666666666663,0.2,0.5,0.5,0.6843325933147921,0.3155438547381283,0.00011231804876960658,1.1233898309838425e-05,0.9614804864936549
60,12.00800533689126,0.41666666666666663,0.2,0.5,0.5,0.675627435381665,0.32425109853042616,0.00011010200859094463,1.1364079317708443e-05,0.9614804864936549
61,12.208138759172781,0.41666666666666663,0.2,0.5,0.5,0.6667988908138459,0.33308167062224936,0.00010793587458892235,1.1502689315624714e-05,0.9614804864936549
62,12.408272181454302,0.41666666666666663,0.2,0.5,0.5,0.6578515423323382,0.34203098910414875,0.00010581863071204093,1.1649932800808476e-05,0.9614804864936549
63,12.608405603735823,0.41666666666666663,0.2,0.5,0.5,0.6487902914649847,0.3510941532241827,0.0001037492822056647,1.1806028626834803e-05,0.9614804864936549
64,12.808539026017344,0.41666666666666663,0.2,0.5,0.5,0.6396203458405292,0.36026595609348067,0.0001017268552163401,1.1971210773609721e-05,0.9614804864936549
65,13.008672448298865,0.41666666666666663,0.2,0.5,0.5,0.6303472151684693,0.3695408887061776,9.975039643137945e-05,1.2145728921698146e-05,0.9614804864936549
66,13.208805870580386,0.41666666666666663,0.2,0.5,0.5,0.6209767023431182,0.3789131488350258,9.781897272010136e-05,1.2329849135764349e-05,0.9614804864936549
67,13.408939292861907,0.41666666666666663,0.2,0.5,0.5,0.6115148905905912,0.3883766538839782,9.593167077657578e-05,1.2523854653879375e-05,0.9614804864936549
68,13.609072715143428,0.41666666666666663,0.2,0.5,0.5,0.6019681293658382,0.3979250549905624,9.408759675457206e-05,1.2728046844658089e-05,0.9614804864936549
69,13.80920613742495,0.41666666666666663,0.2,0.5,0.5,0.5923430186995291,0.40755175267857197,9.228587594295826e-05,1.294274595588659e-05,0.9614804864936549
70,14.00933955970647,0.41666666666666663,0.2,0.5,0.5,0.5826463909588576,0.4172499150966575,9.052565243058436e-05,1.3168292054182e-05,0.9614804864936549
71,14.209472981987991,0.41666666666666663,0.2,0.5,0.5,0.5728852935603365,0.42701249530486135,8.880608877807357e-05,1.3405046023897881e-05,0.9614804864936549
72,14.409606404269512,0.41666666666666663,0.2,0.5,0.5,0.5630669821061662,0.436832238137546,8.712636570382941e-05,1.3653390583763191e-05,0.9614804864936549
73,14.609739826551033,0.41666666666666663,0.2,0.5,0.5,0.5531988841510017,0.4467017164358035,8.548568176102797e-05,1.391373143354894e-05,0.9614804864936549
74,14.809873248832554,0.41666666666666663,0.2,0.5,0.5,0.5432885788506708,0.4566133513978731,8.388325302881789e-05,1.4186498426952829e-05,0.9614804864936549
75,15.010006671114075,0.41666666666666663,0.2,0.5,0.5,0.5333437774843618,0.46655943205600464,8.2318312812814e-05,1.4472146820440742e-05,0.9614804864936549
76,15.210140093395596,0.41666666666666663,0.2,0.5,0.5,0.5233723095852878,0.47653212914475523,8.079011135917393e-05,1.4771158597424283e-05,0.9614804864936549
77,15.410273515677117,0.41666666666666663,0.2,0.5,0.5,0.5133820837614486,0.48652353427913436,7.929791554414737e-05,1.5084043872582972e-05,0.9614804864936549
78,15.610406937958638,0.41666666666666663,0.2,0.5,0.5,0.5033810657545204,0.4965256818945151,7.784100858971214e-05,1.5411342374454676e-05,0.9614804864936549
79,15.810540360240159,0.41666666666666663,0.2,0.5,0.5,0.49337725664833615,0.5065305710368201,7.641868978267424e-05,1.575362506079076e-05,0.9614804864936549
80,16.010673782521682,0.41666666666666663,0.2,0.5,0.5,0.4833786715236624,0.5165301867063019,7.503027419826737e-05,1.611149583720395e-05,0.9614804864936549
81,16.210807204803203,0.41666666666666663,0.2,0.5,0.5,0.47339330463489393,0.5265165346794448,7.367509241585325e-05,1.6485593245186583e-05,0.9614804864936549
82,16.410940627084724,0.41666666666666663,0.2,0.5,0.5,0.46342910620368827,0.5364816647137011,7.235249024808655e-05,1.687659236243859e-05,0.9614804864936549
83,16.611074049366245,0.41666666666666663,0.2,0.5,0.5,0.45349396054577246,0.546417692418902,7.106182846286594e-05,1.7285206862476687e-05,0.9614804864936549
84,16.811207471647766,0.41666666666666663,0.2,0.5,0.5,0.4435956617365836,0.5563168235897703,6.98024825117703e-05,1.771219113407136e-05,0.9614804864936549
85,17.011340893929287,0.41666666666666663,0.2,0.5,0.5,0.43374188514402234,0.5661713826712796,6.857384226763649e-05,1.8158342430049385e-05,0.9614804864936549
86,17.211474316210808,0.41666666666666663,0.2,0.5,0.5,0.42394016546756347,0.5759738347174314,6.73753117544764e-05,1.8624503250257113e-05,0.9614804864936549
87,17.41160773849233,0.41666666666666663,0.2,0.5,0.5,0.4141978760521532,0.5857168060749955,6.620630890373982e-05,1.91115639470719e-05,0.9614804864936549
88,17.61174116077385,0.41666666666666663,0.2,0.5,0.5,0.40452220690002605,0.5953931063693579,6.506626528761881e-05,1.9620465328028634e-05,0.9614804864936549
89,17.81187458305537,0.41666666666666663,0.2,0.5,0.5,0.3949201436693941,0.6049957495033691,6.395462585099461e-05,2.0152201385497894e-05,0.9614804864936549
