,time,beta,sigma_D,sigma_C,S,I,C,D
0,0.0,0.3333333333333333,0.5,0.5,0.9998,0.0002,0.5,0.5
1,0.200133422281521,0.3333333333333333,0.5,0.5,0.9997975604791147,0.0002024395208854087,0.48750437054552176,0.5124956294544785
2,0.400266844563042,0.3333333333333333,0.5,0.5,0.9997949876490317,0.00020501235096825605,0.4750244251475377,0.5249755748524624
3,0.600400266844563,0.3333333333333333,0.5,0.5,0.9997922747682686,0.0002077252317313597,0.46257572983320405,0.5374242701667961
4,0.800533689126084,0.3333333333333333,0.5,0.5,0.9997894161427948,0.00021058385720518381,0.45017365502234497,0.549826344977655
5,1.0006671114076051,0.3333333333333333,0.5,0.5,0.9997864058681268,0.00021359413187304786,0.43783334316932565,0.5621666568306743
6,1.200800533689126,0.3333333333333333,0.5,0.5,0.9997832378155608,0.00021676218443911842,0.4255696293558215,0.5744303706441786
7,1.400933955970647,0.3333333333333333,0.5,0.5,0.9997799056344798,0.0002200943655200779,0.4133969781730235,0.5866030218269765
8,1.601067378252168,0.3333333333333333,0.5,0.5,0.9997764027381185,0.0002235972618815132,0.4013294126781376,0.5986705873218625
9,1.801200800533689,0.3333333333333333,0.5,0.5,0.9997727222966047,0.00022727770339518757,0.38938045380205183,0.6106195461979482
10,2.0013342228152102,0.3333333333333333,0.5,0.5,0.999768857228213,0.000231142771787026,0.37756306383152466,0.6224369361684754
11,2.201467645096731,0.3333333333333333,0.5,0.5,0.9997648001935008,0.0002351998064991878,0.36588961183780794,0.634110388162192
12,2.401601067378252,0.3333333333333333,0.5,0.5,0.9997605435796492,0.0002394564203508386,0.35437179366826904,0.645628206331731
13,2.601734489659773,0.3333333333333333,0.5,0.5,0.9997560794932945,0.00024392050670552713,0.3430206004323616,0.6569793995676384
14,2.801867911941294,0.3333333333333333,0.5,0.5,0.9997513997533799,0.0002486002466201106,0.33184632387129975,0.6681536761287002
15,3.002001334222815,0.3333333333333333,0.5,0.5,0.9997464958766978,0.0002535041233021513,0.3208584916087689,0.6791415083912311
