,time,beta,sigma_D,sigma_C,S,I,C,D
0,0.0,0.5,0.5,0.8333333333333333,0.9998,0.0002,0.5,0.5
1,0.200133422281521,0.5,0.5,0.8333333333333333,0.999793292277118,0.00020670772288202435,0.47086053292849844,0.5291394670715018
2,0.400266844563042,0.5,0.5,0.8333333333333333,0.9997859724522418,0.00021402754775833954,0.4419187559456896,0.5580812440543106
3,0.600400266844563,0.5,0.5,0.8333333333333333,0.9997779832573668,0.00022201674263341574,0.41336669313450164,0.5866333068654985
4,0.800533689126084,0.5,0.5,0.8333333333333333,0.9997692646104193,0.00023073538958096369,0.3853860002466056,0.6146139997533947
5,1.0006671114076051,0.5,0.5,0.8333333333333333,0.9997597525859121,0.00024024741408810811,0.3581435915125971,0.6418564084874031
6,1.200800533689126,0.5,0.5,0.8333333333333333,0.9997493792600257,0.0002506207399744558,0.3317879270922312,0.668212072907769
7,1.400933955970647,0.5,0.5,0.8333333333333333,0.9997380725292055,0.00026192747079465756,0.3064463889318414,0.6935536110681587
8,1.601067378252168,0.5,0.5,0.8333333333333333,0.9997257558942326,0.0002742441057676151,0.28222355240019253,0.7177764475998076
9,1.801200800533689,0.5,0.5,0.8333333333333333,0.9997123482029285,0.0002876517970716153,0.2592004945320243,0.7407995054679758
10,2.0013342228152102,0.5,0.5,0.8333333333333333,0.9996977633530335,0.00030223664696671696,0.2374349774135994,0.7625650225864007
11,2.201467645096731,0.5,0.5,0.8333333333333333,0.9996819099416081,0.0003180900583920792,0.21696254021764735,0.7830374597823528
12,2.401601067378252,0.5,0.5,0.8333333333333333,0.9996646908721454,0.0003353091278548833,0.19779815677749826,0.8022018432225019
13,2.601734489659773,0.5,0.5,0.8333333333333333,0.9996460029117277,0.00035399708827252036,0.17993827459077807,0.8200617254092221
14,2.801867911941294,0.5,0.5,0.8333333333333333,0.9996257361921421,0.0003742638078580701,0.1633633358380313,0.8366366641619687
15,3.002001334222815,0.5,0.5,0.8333333333333333,0.9996037736659928,0.00039622633400733303,0.14804027951327337,0.8519597204867266
16,3.202134756504336,0.5,0.5,0.8333333333333333,0.9995799905082703,0.0004200094917299742,0.13392512457474096,0.8660748754252591
17,3.402268178785857,0.5,0.5,0.8333333333333333,0.9995542534685464,0.0004457465314538411,0.12096541871301589,0.8790345812869842
18,3.602401601067378,0.5,0.5,0.8333333333333333,0.9995264201704663,0.0004735798295339149,0.10910251301125341,0.8908974869887466
19,3.802535023348899,0.5,0.5,0.8333333333333333,0.9994963383589979,0.0005036616410024179,0.0982736095726887,0.9017263904273114
20,4.0026684456304205,0.5,0.5,0.8333333333333333,0.9994638450936628,0.0005361549063374777,0.08841353056874704,0.9115864694312531
21,4.202801867911941,0.5,0.5,0.8333333333333333,0.9994287658853062,0.0005712341146941465,0.07945623043321089,0.9205437695667893
22,4.402935290193462,0.5,0.5,0.8333333333333333,0.9993909137743217,0.000609086225678577,0.07133603830862272,0.9286639616913774
23,4.603068712474983,0.5,0.5,0.8333333333333333,0.9993500883474058,0.0006499116525944357,0.06398865023678896,0.9360113497632112
24,4.803202134756504,0.5,0.5,0.8333333333333333,0.9993060746886371,0.0006939253113631327,0.057351896786883697,0.9426481032131164
25,5.003335557038025,0.5,0.5,0.8333333333333333,0.9992586422608535,0.0007413577391467666,0.05136631162425162,0.9486336883757485
26,5.203468979319546,0.5,0.5,0.8333333333333333,0.9992075437127995,0.0007924562872007049,0.045975527003843816,0.9540244729961562
27,5.403602401601067,0.5,0.5,0.8333333333333333,0.9991525136060464,0.0008474863939538436,0.041126528461783274,0.9588734715382168
28,5.603735823882588,0.5,0.5,0.8333333333333333,0.9990932670601299,0.0009067329398703501,0.03676977327649052,0.9632302267235094
29,5.803869246164109,0.5,0.5,0.8333333333333333,0.9990294982973487,0.0009705017026515408,0.03285925461633212,0.9671407453836678
30,6.00400266844563,0.5,0.5,0.8333333333333333,0.9989608790978199,0.0010391209021802976,0.029352456264779572,0.9706475437352203
31,6.204136090727151,0.5,0.5,0.8333333333333333,0.9988870571483046,0.0011129428516956608,0.02621025402823072,0.9737897459717691
32,6.404269513008672,0.5,0.5,0.8333333333333333,0.9988076542748873,0.0011923457251129942,0.023396786133607263,0.9766032138663926
33,6.604402935290193,0.5,0.5,0.8333333333333333,0.9987222645564446,0.0012777354435557675,0.02087929641715622,0.9791207035828436
34,6.804536357571714,0.5,0.5,0.8333333333333333,0.998630452307301,0.0013695476926994462,0.018627953050132297,0.9813720469498675
35,7.004669779853235,0.5,0.5,0.8333333333333333,0.998531749924251,0.0014682500757494943,0.016615660765153795,0.983384339234846
36,7.204803202134756,0.5,0.5,0.8333333333333333,0.9984256555865679,0.0015743444134324951,0.014817863646014949,0.9851821363539849
37,7.404936624416277,0.5,0.5,0.8333333333333333,0.9983116307946464,0.0016883692053540407,0.013212355127023834,0.9867876448729759
38,7.605070046697798,0.5,0.5,0.8333333333333333,0.9981890977450167,0.001810902254983707,0.011779090254493679,0.988220909745506
39,7.805203468979319,0.5,0.5,0.8333333333333333,0.998057436525493,0.0019425634745075173,0.01050000274027062,0.9894999972597291
40,8.005336891260841,0.5,0.5,0.8333333333333333,0.9979159821205136,0.0020840178794869204,0.009358832817350905,0.9906411671826488
41,8.205470313542362,0.5,0.5,0.8333333333333333,0.9977640212169002,0.0022359787831003905,0.008340967168589527,0.9916590328314103
42,8.405603735823883,0.5,0.5,0.8333333333333333,0.997600788792069,0.0023992112079314473,0.007433283797363162,0.9925667162026367
