,reward,sucker,temptation,punishment,type
0,1,-0.5,1.4999474747474748,-5.252525252525252e-05,1
1,1,-0.5,1.499934331302069,-6.566869793104242e-05,1
2,1,-0.5,1.499917388457698,-8.261154230199392e-05,1
3,1,-0.5,1.4998954183369526,-0.00010458166304730703,1
4,1,-0.5,1.499866760622656,-0.0001332393773440626,1
5,1,-0.5,1.4998291595881523,-0.0001708404118477333,1
6,1,-0.5,1.4997795372222669,-0.00022046277773309897,1
7,1,-0.5,1.49971367424089,-0.0002863257591098929,1
8,1,-0.5,1.4996257635503274,-0.00037423644967253723,1
9,1,-0.5,1.4995077819800358,-0.00049221801996422,1
10,1,-0.5,1.4993486099070974,-0.00065139009290265,1
11,1,-0.5,1.4991327765623694,-0.0008672234376305169,1
12,1,-0.5,1.4988387278561541,-0.0011612721438458767,1
13,1,-0.5,1.498436375591986,-0.0015636244080139872,1
14,1,-0.5,1.4978837074797458,-0.0021162925202542035,1
15,1,-0.5,1.4971221228042526,-0.002877877195747481,1
16,1,-0.5,1.4960701675119399,-0.003929832488060134,1
17,1,-0.5,1.4946153386652588,-0.0053846613347411825,1
18,1,-0.5,1.4926039102275255,-0.007396089772474549,1
19,1,-0.5,1.4898293371395057,-0.010170662860494221,1
20,1,-0.5,1.4860214013324775,-0.01397859866752256,1
21,1,-0.5,1.48084063276544,-0.019159367234560087,1
22,1,-0.5,1.4738870053382602,-0.026112994661739806,1
23,1,-0.5,1.4647364595642203,-0.0352635404357798,1
24,1,-0.5,1.4530204855806008,-0.04697951441939924,1
25,1,-0.5,1.4385549300758762,-0.06144506992412389,1
26,1,-0.5,1.4214953658334701,-0.07850463416652995,1
27,1,-0.5,1.4024522132094759,-0.09754778679052412,1
28,1,-0.5,1.3824735460531095,-0.11752645394689054,1
29,1,-0.5,1.3628466341205001,-0.1371533658794998,1
30,1,-0.5,1.3447817615523538,-0.15521823844764612,1
31,1,-0.5,1.329131392600394,-0.17086860739960588,1
32,1,-0.5,1.3162714718781718,-0.18372852812182822,1
33,1,-0.5,1.3061567212083156,-0.1938432787916843,1
34,1,-0.5,1.2984703232575643,-0.20152967674243563,1
35,1,-0.5,1.2927784090318841,-0.2072215909681159,1
36,1,-0.5,1.2886406030201287,-0.2113593969798713,1
37,1,-0.5,1.285669278391283,-0.21433072160871683,1
38,1,-0.5,1.2835506044308187,-0.21644939556918139,1
39,1,-0.5,1.282043695070322,-0.2179563049296781,1
40,1,-0.5,1.280970095838759,-0.21902990416124096,1
41,1,-0.5,1.2802007512369076,-0.21979924876309254,1
42,1,-0.5,1.2796438702512578,-0.22035612974874208,1
43,1,-0.5,1.2792349191636203,-0.2207650808363796,1
44,1,-0.5,1.2789288952684532,-0.22107110473154676,1
45,1,-0.5,1.278694593413812,-0.2213054065861879,1
46,1,-0.5,1.2785104608122841,-0.22148953918771586,1
47,1,-0.5,1.2783616489443193,-0.22163835105568083,1
