,reward,sucker,temptation,punishment,type
0,1,-0.5,1.4999555555555555,-4.4444444444444447e-05,1
1,1,-0.5,1.4999482642834698,-5.173571653017776e-05,1
2,1,-0.5,1.4999394929038115,-6.0507096188533316e-05,1
3,1,-0.5,1.4999288957075068,-7.110429249313331e-05,1
4,1,-0.5,1.499916037744975,-8.396225502497776e-05,1
5,1,-0.5,1.4999003708882055,-9.962911179455552e-05,1
6,1,-0.5,1.4998812011853204,-0.00011879881467955554,1
7,1,-0.5,1.4998576504017231,-0.00014234959827691106,1
8,1,-0.5,1.4998285983057866,-0.00017140169421326666,1
9,1,-0.5,1.4997926185630375,-0.00020738143696253327,1
10,1,-0.5,1.4997478877162163,-0.00025211228378368885,1
11,1,-0.5,1.499692069069687,-0.0003079309303128,1
12,1,-0.5,1.4996221626406527,-0.00037783735934715545,1
13,1,-0.5,1.4995343095898925,-0.00046569041010753327,1
14,1,-0.5,1.4994235382558805,-0.0005764617441196222,1
15,1,-0.5,1.4992834348975117,-0.0007165651024883999,1
16,1,-0.5,1.4991057179264198,-0.0008942820735801554,1
17,1,-0.5,1.4988796911933366,-0.001120308806663311,1
18,1,-0.5,1.4985915291389489,-0.0014084708610511332,1
19,1,-0.5,1.4982233912719882,-0.0017766087280117774,1
20,1,-0.5,1.4977522819314555,-0.0022477180685444437,1
21,1,-0.5,1.4971486447595999,-0.002851355240400176,1
22,1,-0.5,1.496374647310926,-0.003625352689073843,1
23,1,-0.5,1.4953821538198633,-0.004617846180136821,1
24,1,-0.5,1.4941104387978266,-0.005889561202173487,1
25,1,-0.5,1.4924837927479313,-0.007516207252068731,1
26,1,-0.5,1.490409343043124,-0.009590656956876041,1
27,1,-0.5,1.4877757073954698,-0.012224292604530194,1
28,1,-0.5,1.4844534315869198,-0.01554656841308015,1
29,1,-0.5,1.4802986488743706,-0.019701351125629523,1
30,1,-0.5,1.475161725979493,-0.0248382740205071,1
31,1,-0.5,1.4689027769420473,-0.03109722305795278,1
32,1,-0.5,1.4614149866039037,-0.038585013396096254,1
33,1,-0.5,1.4526546333789725,-0.047345366621027465,1
34,1,-0.5,1.4426728995660836,-0.057327100433916395,1
35,1,-0.5,1.4316403701682026,-0.06835962983179739,1
36,1,-0.5,1.4198527523169586,-0.08014724768304131,1
37,1,-0.5,1.4077089330468873,-0.0922910669531128,1
38,1,-0.5,1.3956614206133442,-0.10433857938665576,1
39,1,-0.5,1.3841506892968432,-0.11584931070315686,1
40,1,-0.5,1.373542822324329,-0.1264571776756712,1
41,1,-0.5,1.3640882505651148,-0.13591174943488507,1
42,1,-0.5,1.355909689831738,-0.14409031016826193,1
43,1,-0.5,1.3490158610272194,-0.1509841389727805,1
44,1,-0.5,1.343330452065078,-0.1566695479349221,1
45,1,-0.5,1.3387249783885022,-0.16127502161149773,1
46,1,-0.5,1.335047552236037,-0.16495244776396292,1
47,1,-0.5,1.332143967076206,-0.16785603292379392,1
48,1,-0.5,1.3298708268134847,-0.17012917318651524,1
49,1,-0.5,1.3281022292074045,-0.17189777079259544,1
50,1,-0.5,1.3267319407914555,-0.17326805920854446,1
51,1,-0.5,1.3256728501146802,-0.17432714988531992,1
52,1,-0.5,1.3248550046566345,-0.17514499534336547,1
53,1,-0.5,1.3242230964033412,-0.17577690359665876,1
54,1,-0.5,1.3237339010732743,-0.1762660989267257,1
55,1,-0.5,1.3233539207090947,-0.17664607929090514,1
56,1,-0.5,1.323057384820971,-0.17694261517902893,1
57,1,-0.5,1.3228245452695444,-0.17717545473045568,1
58,1,-0.5,1.3226403368823914,-0.1773596631176086,1
59,1,-0.5,1.3224932913926304,-0.17750670860736967,1
60,1,-0.5,1.3223746976436943,-0.17762530235630572,1
61,1,-0.5,1.3222779459444258,-0.17772205405557417,1
62,1,-0.5,1.3221980252055685,-0.17780197479443138,1
63,1,-0.5,1.3221311366532138,-0.17786886334678614,1
64,1,-0.5,1.3220743996341018,-0.1779256003658983,1
65,1,-0.5,1.3220256269398227,-0.17797437306017738,1
66,1,-0.5,1.321983156356301,-0.1780168436436991,1
67,1,-0.5,1.321945722463695,-0.1780542775363049,1
68,1,-0.5,1.321912358196454,-0.17808764180354608,1
69,1,-0.5,1.3218823225312144,-0.17811767746878562,1
70,1,-0.5,1.3218550451970463,-0.17814495480295375,1
71,1,-0.5,1.3218300839022414,-0.17816991609775862,1
72,1,-0.5,1.321807094371434,-0.17819290562856607,1
73,1,-0.5,1.3217858066401402,-0.17821419335985966,1
