,reward,sucker,temptation,punishment,type
0,1,-0.5,1.4999737373737374,-2.626262626262626e-05,1
1,1,-0.5,1.499975476804825,-2.4523195175030308e-05,1
2,1,-0.5,1.4999771003248983,-2.289967510167475e-05,1
3,1,-0.5,1.4999786149407697,-2.1385059230271718e-05,1
4,1,-0.5,1.49998002803295,-1.9971967049929293e-05,1
5,1,-0.5,1.4999813464840417,-1.865351595838283e-05,1
6,1,-0.5,1.4999825767094923,-1.742329050767172e-05,1
7,1,-0.5,1.499983724688148,-1.6275311851946467e-05,1
8,1,-0.5,1.4999847959946657,-1.520400533418788e-05,1
9,1,-0.5,1.499985795822925,-1.4204177075006066e-05,1
10,1,-0.5,1.499986729013046,-1.3270986954083843e-05,1
11,1,-0.5,1.4999876000751518,-1.239992484813989e-05,1
12,1,-0.5,1.4999884132114152,-1.1586788584880644e-05,1
13,1,-0.5,1.4999891723367182,-1.0827663281825267e-05,1
14,1,-0.5,1.4999898810987817,-1.0118901218327594e-05,1
15,1,-0.5,1.4999905428950373,-9.457104962612987e-06,1
16,1,-0.5,1.4999911608901573,-8.839109842689951e-06,1
17,1,-0.5,1.4999917380329117,-8.261967088360833e-06,1
18,1,-0.5,1.4999922770695455,-7.722930454514382e-06,1
19,1,-0.5,1.4999927805584443,-7.2194415557612945e-06,1
20,1,-0.5,1.4999932508829485,-6.749117051479156e-06,1
21,1,-0.5,1.4999936902633526,-6.3097366473271025e-06,1
22,1,-0.5,1.4999941007682263,-5.899231773642743e-06,1
23,1,-0.5,1.4999944843249444,-5.5156750556098335e-06,1
24,1,-0.5,1.499994842729471,-5.1572705291730834e-06,1
25,1,-0.5,1.4999951776555005,-4.822344499420409e-06,1
26,1,-0.5,1.4999954906629147,-4.5093370852670355e-06,1
27,1,-0.5,1.4999957832057598,-4.216794240282233e-06,1
28,1,-0.5,1.4999960566395467,-3.9433604533577535e-06,1
29,1,-0.5,1.4999963122281548,-3.6877718452267087e-06,1
30,1,-0.5,1.4999965511501248,-3.4488498752255175e-06,1
31,1,-0.5,1.4999967745046323,-3.2254953676491285e-06,1
32,1,-0.5,1.499996983316951,-3.016683048921109e-06,1
33,1,-0.5,1.499997178543557,-2.8214564428402183e-06,1
34,1,-0.5,1.4999973610769024,-2.6389230975754696e-06,1
35,1,-0.5,1.4999975317497725,-2.468250227590438e-06,1
36,1,-0.5,1.4999976913394355,-2.3086605645789916e-06,1
37,1,-0.5,1.4999978405714123,-2.159428587628602e-06,1
38,1,-0.5,1.4999979801230134,-2.01987698654879e-06,1
39,1,-0.5,1.4999981106265674,-1.8893734326127926e-06,1
40,1,-0.5,1.4999982326726151,-1.767327384901564e-06,1
41,1,-0.5,1.4999983468126938,-1.6531873060655883e-06,1
42,1,-0.5,1.4999984535618567,-1.546438143333836e-06,1
43,1,-0.5,1.4999985534012892,-1.4465987107133962e-06,1
44,1,-0.5,1.499998646780474,-1.3532195260848828e-06,1
45,1,-0.5,1.4999987341193712,-1.2658806288206265e-06,1
46,1,-0.5,1.4999988158103905,-1.1841896093904158e-06,1
47,1,-0.5,1.4999988922202234,-1.1077797764749527e-06,1
48,1,-0.5,1.499998963691571,-1.0363084290374546e-06,1
49,1,-0.5,1.4999990305447117,-9.694552881591736e-07,1
50,1,-0.5,1.499999093079014,-9.069209861385757e-07,1
51,1,-0.5,1.499999151574307,-8.484256929262857e-07,1
52,1,-0.5,1.4999992062921876,-7.937078123525233e-07,1
53,1,-0.5,1.499999257477204,-7.425227960040707e-07,1
54,1,-0.5,1.4999993053579939,-6.946420061026438e-07,1
55,1,-0.5,1.4999993501483215,-6.498516785429947e-07,1
56,1,-0.5,1.4999993920480605,-6.0795193949871e-07,1
57,1,-0.5,1.4999994312441094,-5.687558905556373e-07,1
58,1,-0.5,1.499999467911224,-5.320887759691385e-07,1
59,1,-0.5,1.4999995022128332,-4.977871667199333e-07,1
60,1,-0.5,1.4999995343017634,-4.6569823673972653e-07,1
61,1,-0.5,1.4999995643209385,-4.356790615339709e-07,1
62,1,-0.5,1.4999995924040275,-4.075959726166083e-07,1
63,1,-0.5,1.4999996186760376,-3.81323962458179e-07,1
64,1,-0.5,1.499999643253892,-3.567461079496861e-07,1
65,1,-0.5,1.499999666246943,-3.3375305700292486e-07,1
66,1,-0.5,1.4999996877574722,-3.12242527778322e-07,1
67,1,-0.5,1.4999997078811478,-2.9211885213965066e-07,1
68,1,-0.5,1.4999997267074512,-2.7329254871712145e-07,1
69,1,-0.5,1.499999744320085,-2.5567991500681537e-07,1
70,1,-0.5,1.499999760797339,-2.3920266101179905e-07,1
71,1,-0.5,1.4999997762124488,-2.2378755114120606e-07,1
72,1,-0.5,1.4999997906339189,-2.0936608104995305e-07,1
73,1,-0.5,1.49999980412583,-1.958741700925799e-07,1
74,1,-0.5,1.499999816748126,-1.8325187383111494e-07,1
75,1,-0.5,1.4999998285568783,-1.7144312176766993e-07,1
76,1,-0.5,1.4999998396045449,-1.6039545507810052e-07,1
77,1,-0.5,1.499999849940204,-1.5005979597363092e-07,1
78,1,-0.5,1.4999998596097541,-1.4039024594045077e-07,1
79,1,-0.5,1.499999868656137,-1.3134386279297048e-07,1
80,1,-0.5,1.499999877119526,-1.2288047410885085e-07,1
81,1,-0.5,1.4999998850375071,-1.1496249295380422e-07,1
82,1,-0.5,1.4999998924452318,-1.0755476815002937e-07,1
83,1,-0.5,1.4999998993755783,-1.0062442169988368e-07,1
84,1,-0.5,1.4999999058593312,-9.414066878100048e-08,1
85,1,-0.5,1.4999999119252712,-8.807472876340613e-08,1
86,1,-0.5,1.4999999176003163,-8.239968372790484e-08,1
87,1,-0.5,1.4999999229096737,-7.709032633853979e-08,1
88,1,-0.5,1.499999927876908,-7.212309184764521e-08,1
89,1,-0.5,1.499999932524059,-6.747594114470614e-08,1
90,1,-0.5,1.4999999368717656,-6.312823431533854e-08,1
91,1,-0.5,1.4999999409393234,-5.906067666783983e-08,1
92,1,-0.5,1.4999999447447774,-5.5255222604553857e-08,1
93,1,-0.5,1.4999999483050281,-5.169497190271935e-08,1
94,1,-0.5,1.4999999516358749,-4.836412522951791e-08,1
95,1,-0.5,1.4999999547520941,-4.5247905804392206e-08,1
96,1,-0.5,1.4999999576675245,-4.23324755798983e-08,1
97,1,-0.5,1.4999999603951024,-3.9604897591764686e-08,1
98,1,-0.5,1.499999962946928,-3.705307205223947e-08,1
99,1,-0.5,1.4999999653343323,-3.466566763423944e-08,1
100,1,-0.5,1.499999967567909,-3.243209097894027e-08,1
101,1,-0.5,1.4999999696575659,-3.0342434090828356e-08,1
102,1,-0.5,1.4999999716125818,-2.8387418195473217e-08,1
103,1,-0.5,1.4999999734416312,-2.6558368793769388e-08,1
104,1,-0.5,1.4999999751528275,-2.4847172459803854e-08,1
105,1,-0.5,1.4999999767537688,-2.324623116363991e-08,1
106,1,-0.5,1.4999999782515583,-2.1748441727740525e-08,1
107,1,-0.5,1.4999999796528396,-2.0347160342843853e-08,1
108,1,-0.5,1.499999980963835,-1.9036165152270245e-08,1
109,1,-0.5,1.4999999821903605,-1.7809639563831756e-08,1
110,1,-0.5,1.499999983337857,-1.6662143063637837e-08,1
111,1,-0.5,1.4999999844114194,-1.558858073126788e-08,1
112,1,-0.5,1.4999999854158106,-1.4584189512488086e-08,1
113,1,-0.5,1.499999986355486,-1.3644513967473706e-08,1
114,1,-0.5,1.4999999872346172,-1.2765382818600523e-08,1
115,1,-0.5,1.499999988057105,-1.1942894879423622e-08,1
116,1,-0.5,1.499999988826599,-1.1173401005636123e-08,1
117,1,-0.5,1.4999999895465177,-1.045348219926618e-08,1
118,1,-0.5,1.499999990220054,-9.779945903076887e-09,1
119,1,-0.5,1.4999999908501909,-9.149809231415256e-09,1
120,1,-0.5,1.4999999914397186,-8.560281457572115e-09,1
121,1,-0.5,1.4999999919912557,-8.008744387233639e-09,1
122,1,-0.5,1.4999999925072514,-7.492748691421549e-09,1
123,1,-0.5,1.4999999929900039,-7.009996166258761e-09,1
124,1,-0.5,1.4999999934416595,-6.558340629965258e-09,1
125,1,-0.5,1.499999993864206,-6.135794081960648e-09,1
126,1,-0.5,1.499999994259522,-5.7404780472953856e-09,1
127,1,-0.5,1.4999999946293747,-5.3706252124662564e-09,1
128,1,-0.5,1.4999999949754113,-5.024588843916203e-09,1
129,1,-0.5,1.4999999952991463,-4.70085370869121e-09,1
130,1,-0.5,1.4999999956020185,-4.397981642641842e-09,1
131,1,-0.5,1.4999999958853802,-4.114619745947016e-09,1
132,1,-0.5,1.499999996150492,-3.849507936820627e-09,1
133,1,-0.5,1.499999996398516,-3.601484009748252e-09,1
134,1,-0.5,1.4999999966305548,-3.369445067308984e-09,1
135,1,-0.5,1.4999999968476472,-3.152352862907766e-09,1
136,1,-0.5,1.4999999970507698,-2.9492301092496405e-09,1
137,1,-0.5,1.4999999972407791,-2.759220789570284e-09,1
138,1,-0.5,1.499999997418551,-2.5814490598592415e-09,1
139,1,-0.5,1.4999999975848735,-2.4151265826688087e-09,1
140,1,-0.5,1.4999999977404823,-2.2595175858265527e-09,1
141,1,-0.5,1.4999999978860605,-2.1139395582977173e-09,1
142,1,-0.5,1.4999999980222583,-1.9777416449821127e-09,1
143,1,-0.5,1.4999999981496848,-1.8503152013716172e-09,1
144,1,-0.5,1.499999998268907,-1.731092982375458e-09,1
145,1,-0.5,1.4999999983804628,-1.6195371113939186e-09,1
146,1,-0.5,1.4999999984848476,-1.515152349917897e-09,1
147,1,-0.5,1.4999999985825136,-1.4174863905761516e-09,1
148,1,-0.5,1.4999999986738728,-1.3261272087270592e-09,1
149,1,-0.5,1.4999999987593187,-1.2406814372098637e-09,1
150,1,-0.5,1.4999999988392685,-1.1607315515091193e-09,1
151,1,-0.5,1.4999999989140764,-1.0859236113493914e-09,1
152,1,-0.5,1.4999999989840636,-1.0159364948227769e-09,1
153,1,-0.5,1.4999999990495212,-9.504788368948442e-10,1
154,1,-0.5,1.499999999110752,-8.892479256428463e-10,1
155,1,-0.5,1.499999999168048,-8.319521643142484e-10,1
156,1,-0.5,1.499999999221659,-7.783409619480337e-10,1
157,1,-0.5,1.4999999992718143,-7.281857691899658e-10,1
158,1,-0.5,1.4999999993189288,-6.810712180307959e-10,1
159,1,-0.5,1.4999999993626854,-6.37314612696369e-10,1
160,1,-0.5,1.4999999994037059,-5.962941746127947e-10,1
161,1,-0.5,1.499999999442123,-5.578769829122554e-10,1
162,1,-0.5,1.49999999947807,-5.219301167269336e-10,1
163,1,-0.5,1.4999999995116862,-4.883138384794033e-10,1
164,1,-0.5,1.49999999954312,-4.5688001221707976e-10,1
165,1,-0.5,1.4999999995725104,-4.274895193752587e-10,1
166,1,-0.5,1.4999999995999966,-4.0000342666887325e-10,1
167,1,-0.5,1.4999999996257172,-3.7428280081285564e-10,1
168,1,-0.5,1.4999999996498101,-3.5018996455587753e-10,1
169,1,-0.5,1.4999999996723472,-3.276527267372188e-10,1
170,1,-0.5,1.4999999996934068,-3.0659321934453567e-10,1
171,1,-0.5,1.4999999997130953,-2.8690471240661417e-10,1
172,1,-0.5,1.4999999997315194,-2.6848047595224074e-10,1
173,1,-0.5,1.4999999997487863,-2.5121378001020114e-10,1
174,1,-0.5,1.49999999976499,-2.3501011566591497e-10,1
175,1,-0.5,1.4999999997801436,-2.1985641146530267e-10,1
176,1,-0.5,1.4999999997943052,-2.0569487128186892e-10,1
177,1,-0.5,1.4999999998075455,-1.9245459877238656e-10,1
178,1,-0.5,1.4999999998199354,-1.8006469759362874e-10,1
179,1,-0.5,1.4999999998315456,-1.684542714023674e-10,1
180,1,-0.5,1.4999999998433884,-1.566115567178793e-10,1
