,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d,R0
0,0.0,0.41666666666666663,0.2,0.5,0.5,0.45815,0.54145,0.00018333333333333334,0.00021666666666666666,5.502046324417515
1,0.200133422281521,0.41666666666666663,0.2,0.5,0.5,0.44823507785678296,0.5513631011218283,0.00019197692992505675,0.0002098440914636585,5.502046324417515
2,0.400266844563042,0.41666666666666663,0.2,0.5,0.5,0.43836138659791124,0.5612351584093819,0.00020024812884175534,0.00020320686386522273,5.502046324417515
3,0.600400266844563,0.41666666666666663,0.2,0.5,0.5,0.428536567802654,0.5710585231778568,0.0002081352061790987,0.00019677381331028093,5.502046324417515
4,0.800533689126084,0.41666666666666663,0.2,0.5,0.5,0.4187680281622963,0.5808257810171396,0.0002156302926930115,0.00019056052787125118,5.502046324417515
5,1.0006671114076051,0.41666666666666663,0.2,0.5,0.5,0.4090630253679961,0.5905296659464921,0.00022272879540339826,0.00018457989010846597,5.502046324417515
6,1.200800533689126,0.41666666666666663,0.2,0.5,0.5,0.39942862351590813,0.6001631050926388,0.0002294293112458316,0.00017884208020739405,5.502046324417515
7,1.400933955970647,0.41666666666666663,0.2,0.5,0.5,0.3898716668710636,0.6097192450282923,0.00023573335555698215,0.00017335474508717148,5.502046324417515
8,1.601067378252168,0.41666666666666663,0.2,0.5,0.5,0.3803987713215736,0.619191460426909,0.00024164493409534294,0.00016812331742214643,5.502046324417515
9,1.801200800533689,0.41666666666666663,0.2,0.5,0.5,0.37101630459005064,0.6285733739136756,0.00024717033315367187,0.00016315116312016882,5.502046324417515
10,2.0013342228152102,0.41666666666666663,0.2,0.5,0.5,0.3617303689662094,0.6378588734084633,0.000252317835610842,0.0001584397897165397,5.502046324417515
11,2.201467645096731,0.41666666666666663,0.2,0.5,0.5,0.35254679008949824,0.6470421234085798,0.00025709744620659665,0.00015398905571545319,5.502046324417515
12,2.401601067378252,0.41666666666666663,0.2,0.5,0.5,0.343471103670006,0.6561175783352106,0.0002615205997010115,0.00014979739508266425,5.502046324417515
13,2.601734489659773,0.41666666666666663,0.2,0.5,0.5,0.33450855130931867,0.6650799867366043,0.0002656000562333515,0.00014586189784372873,5.502046324417515
14,2.801867911941294,0.41666666666666663,0.2,0.5,0.5,0.3256640626208827,0.6739244092704383,0.00026934939747614434,0.00014217871120295291,5.502046324417515
