value,d_fract,beta,alpha,sigmaD,sigmaC
min,0,0.35,0,0,0
max,1,2,1,1,1
num,25,5,25,25,25
low,0.25,1.33,0.25,0.25,0.25
mean,0.5,1.49,0.5,0.5,0.5
high,0.75,1.66,0.75,0.75,0.75
