,time,sigma,beta,S,I,C,D
0,0.0,1,0.58,0.9998,0.0002,0.5,0.5
1,0.5016722408026756,1,0.58,0.9997617119418728,0.00023828805812722923,0.479118300276749,0.5208816997232507
2,1.0033444816053512,1,0.58,0.9997150490150984,0.00028495098490143175,0.45831104001992057,0.5416889599800793
3,1.5050167224080266,1,0.58,0.9996580579533492,0.00034194204665072346,0.4376502862675366,0.5623497137324633
4,2.0066889632107023,1,0.58,0.9995883173624664,0.0004116826375334987,0.41720614378284165,0.5827938562171582
5,2.508361204013378,1,0.58,0.9995028148919344,0.0004971851080656495,0.3970458211594127,0.6029541788405872
6,3.0100334448160533,1,0.58,0.9993978238608078,0.0006021761391922009,0.37723288580699643,0.6227671141930037
7,3.511705685618729,1,0.58,0.9992686948011599,0.0007313051988401378,0.35782637800611905,0.642173621993881
8,4.013377926421405,1,0.58,0.9991096647339501,0.0008903352660499464,0.3388803505216094,0.6611196494783905
9,4.51505016722408,1,0.58,0.9989135749776678,0.001086425022332224,0.3204433529409341,0.6795566470590658
10,5.016722408026756,1,0.58,0.9986715388711835,0.0013284611288164518,0.30255809524842203,0.697441904751578
11,5.518394648829432,1,0.58,0.9983725247521821,0.0016274752478178812,0.28526125264622826,0.7147387473537717
12,6.020066889632107,1,0.58,0.9980028325679317,0.0019971674320683323,0.2685834024589565,0.7314165975410435
13,6.521739130434782,1,0.58,0.9975454845217695,0.0024545154782304734,0.25254910972779754,0.7474508902722025
14,7.023411371237458,1,0.58,0.9969794389144484,0.003020561085551506,0.23717709337807044,0.7628229066219295
15,7.525083612040134,1,0.58,0.9962786462654402,0.00372135373455977,0.22248050752606766,0.7775194924739323
16,8.02675585284281,1,0.58,0.9954109018889542,0.004589098111045808,0.20846730181717654,0.7915326981828236
17,8.528428093645484,1,0.58,0.9943364659087636,0.005663534091236408,0.19514064318321073,0.8048593568167893
18,9.03010033444816,1,0.58,0.9930063612065042,0.006993638793495752,0.18249940563477454,0.8175005943652255
19,9.531772575250836,1,0.58,0.9913604304966254,0.008639569503374658,0.17053865668633292,0.829461343313667
20,10.033444816053512,1,0.58,0.9893250048430292,0.010674995156970797,0.15925019066740262,0.8407498093325975
21,10.535117056856187,1,0.58,0.9868102251187519,0.013189774881248104,0.14862305810592372,0.8513769418940763
22,11.036789297658864,1,0.58,0.983707042693803,0.016292957306197037,0.13864408684886964,0.8613559131511304
23,11.538461538461538,1,0.58,0.9798839691324359,0.020116030867564163,0.1292983857149305,0.8707016142850695
24,12.040133779264213,1,0.58,0.9751837212533803,0.02481627874661983,0.12056982301581379,0.8794301769841862
25,12.54180602006689,1,0.58,0.9694200536173219,0.03057994638267819,0.11244147049073332,0.8875585295092666
26,13.043478260869565,1,0.58,0.9623753006871857,0.03762469931281411,0.10489600587314177,0.8951039941268583
27,13.545150501672241,1,0.58,0.9537992267803588,0.04620077321964086,0.09791606745998671,0.9020839325400134
28,14.046822742474916,1,0.58,0.9434102660407707,0.05658973395922914,0.09148455115046793,0.9085154488495321
29,14.548494983277592,1,0.58,0.9309004192728937,0.0690995807271061,0.08558484471477654,0.9144151552852234
30,15.050167224080267,1,0.58,0.9159454540118147,0.08405454598818506,0.08020098881856766,0.9197990111814324
31,15.551839464882944,1,0.58,0.8982219106702511,0.10177808932974863,0.07531775308740983,0.9246822469125903
32,16.05351170568562,1,0.58,0.87743237236187,0.12256762763812987,0.07092062299209205,0.929079377007908
33,16.555183946488295,1,0.58,0.8533391924731439,0.14666080752685584,0.06699569103010276,0.9330043089698972
34,17.05685618729097,1,0.58,0.8258056059510911,0.1741943940489087,0.06352944909909033,0.9364705509009097
35,17.558528428093645,1,0.58,0.7948394921713067,0.20516050782869308,0.06050849997300701,0.9394915000269931
36,18.06020066889632,1,0.58,0.7606333747480566,0.239366625251943,0.05791920400213683,0.9420807959978632
37,18.561872909698998,1,0.58,0.7235906981691859,0.27640930183081375,0.055747304625810734,0.9442526953741892
38,19.06354515050167,1,0.58,0.6843286387411349,0.31567136125886475,0.053977581271281196,0.9460224187287187
39,19.565217391304348,1,0.58,0.6436504547149546,0.35634954528504503,0.05259358794577519,0.9474064120542247
40,20.066889632107024,1,0.58,0.6024868039905933,0.39751319600940627,0.0515775291442638,0.9484224708557362
41,20.568561872909697,1,0.58,0.5618136044559257,0.4381863955440739,0.05091030754551765,0.9490896924544823
42,21.070234113712374,1,0.58,0.5225612993739458,0.47743870062605365,0.05057174979153886,0.949428250208461
43,21.57190635451505,1,0.58,0.48553276208980156,0.514467237910198,0.05054098401773986,0.94945901598226
44,22.073578595317727,1,0.58,0.45134469260096655,0.5486553073990329,0.05079692021166793,0.9492030797883318
45,22.5752508361204,1,0.58,0.420400031579095,0.5795999684209046,0.0513187681267044,0.9486812318732954
46,23.076923076923077,1,0.58,0.39289086014095775,0.6071091398590418,0.05208653104484857,0.9479134689551513
47,23.578595317725753,1,0.58,0.36882475633189243,0.6311752436681072,0.053081425496120604,0.9469185745038792
48,24.080267558528426,1,0.58,0.34806466683921783,0.6519353331607819,0.054286198067079454,0.9457138019329202
49,24.581939799331103,1,0.58,0.3303728753610279,0.6696271246389718,0.05568533115966185,0.944314668840338
50,25.08361204013378,1,0.58,0.3154519338826203,0.6845480661173794,0.05726514141557315,0.9427348585844267
51,25.585284280936456,1,0.58,0.3029784499006887,0.697021550099311,0.05901378939583001,0.94098621060417
52,26.08695652173913,1,0.58,0.292628311194493,0.7073716888055067,0.060921220166641386,0.9390787798333586
