,time,sigma,beta,S,I,C,D
0,0.0,0.6900000000000001,0.43,0.9998,0.0002,0.5,0.5
1,0.5016722408026756,0.6900000000000001,0.43,0.9997695362759478,0.00023046372405226303,0.47911536729676335,0.5208846327032367
2,1.0033444816053512,0.6900000000000001,0.43,0.9997343237964668,0.0002656762035333163,0.45830439684236657,0.5416956031576332
3,1.5050167224080266,0.6900000000000001,0.43,0.9996936304654946,0.0003063695345054849,0.437638968946468,0.5623610310535317
4,2.0066889632107023,0.6900000000000001,0.43,0.999646610921679,0.00035338907832105246,0.4171889460037652,0.5828110539962345
5,2.508361204013378,0.6900000000000001,0.43,0.9995922897914994,0.00040771020850085177,0.39702127643345225,0.6029787235665474
6,3.0100334448160533,0.6900000000000001,0.43,0.9995295408629052,0.0004704591370949617,0.3771991431490805,0.6228008568509191
7,3.511705685618729,0.6900000000000001,0.43,0.9994570653995598,0.0005429346004403642,0.3577812674586419,0.6422187325413576
8,4.013377926421405,0.6900000000000001,0.43,0.9993733627386762,0.0006266372613239449,0.33882119474205874,0.6611788052579408
9,4.51505016722408,0.6900000000000001,0.43,0.9992767024269396,0.0007232975730605,0.3203669273415466,0.679633072658453
10,5.016722408026756,0.6900000000000001,0.43,0.9991650878847126,0.0008349121152875811,0.30246052221446196,0.6975394777855376
11,5.518394648829432,0.6900000000000001,0.43,0.999036215824301,0.0009637841756991132,0.2851378911617042,0.7148621088382954
12,6.020066889632107,0.6900000000000001,0.43,0.998887429719627,0.0011125702803731555,0.2684287300975708,0.7315712699024287
13,6.521739130434782,0.6900000000000001,0.43,0.9987156659422284,0.0012843340577717902,0.25235657372211484,0.7476434262778847
14,7.023411371237458,0.6900000000000001,0.43,0.9985173962558547,0.0014826037441454188,0.23693889259181916,0.7630611074081805
15,7.525083612040134,0.6900000000000001,0.43,0.998288550910382,0.001711449089618067,0.22218747334553787,0.7778125266544619
16,8.02675585284281,0.6900000000000001,0.43,0.9980244423789588,0.001975557621041307,0.20810868921006156,0.7918913107899381
17,8.528428093645484,0.6900000000000001,0.43,0.9977196741860341,0.0022803258139659963,0.19470381687209615,0.8052961831279035
18,9.03010033444816,0.6900000000000001,0.43,0.9973680351008382,0.002631964899161883,0.18196961521310034,0.8180303847868993
19,9.531772575250836,0.6900000000000001,0.43,0.9969623798119129,0.0030376201880870633,0.16989871462340142,0.8301012853765983
20,10.033444816053512,0.6900000000000001,0.43,0.9964944939689737,0.0035055060310261532,0.1584801221103552,0.8415198778896446
21,10.535117056856187,0.6900000000000001,0.43,0.9959549414189455,0.004045058581054429,0.14769971663914122,0.8523002833608585
