,time,sigma,beta,S,I,C,D
0,0.0,0.06,0.92,0.9998,0.0002,0.5,0.5
1,0.5016722408026756,0.06,0.92,0.9997619651393931,0.00023803486060671011,0.4791097278692608,0.5208902721307392
2,1.0033444816053512,0.06,0.92,0.9997148935425756,0.00028510645742415083,0.45829233247034473,0.5417076675296555
3,1.5050167224080266,0.06,0.92,0.9996562687680066,0.0003437312319931916,0.43761965277923476,0.5623803472207655
4,2.0066889632107023,0.06,0.92,0.9995827945801196,0.0004172054198802107,0.41716153184822163,0.5828384681517784
5,2.508361204013378,0.06,0.92,0.9994901133187131,0.0005098866812866944,0.39698487254546355,0.6030151274545366
6,3.0100334448160533,0.06,0.92,0.9993724797625083,0.0006275202374914407,0.37715288957545523,0.6228471104245449
7,3.511705685618729,0.06,0.92,0.9992222040505853,0.0007777959494145712,0.35772421356688816,0.642275786433112
8,4.013377926421405,0.06,0.92,0.9990290314896252,0.0009709685103746486,0.3387524289958968,0.6612475710041031
9,4.51505016722408,0.06,0.92,0.9987791833237014,0.001220816676298361,0.3202855432884449,0.6797144567115552
10,5.016722408026756,0.06,0.92,0.9984540894625035,0.0015459105374962885,0.30236564410168515,0.6976343558983149
11,5.518394648829432,0.06,0.92,0.9980285749345036,0.0019714250654962267,0.2850286896600461,0.714971310339954
12,6.020066889632107,0.06,0.92,0.9974684411223925,0.0025315588776073624,0.26830445345081355,0.7316955465491864
13,6.521739130434782,0.06,0.92,0.9967270603669607,0.003272939633039114,0.2522165771081153,0.7477834228918848
14,7.023411371237458,0.06,0.92,0.9957406781343034,0.0042593218656963965,0.23678273894538543,0.7632172610546146
15,7.525083612040134,0.06,0.92,0.994421969688017,0.005578030311982873,0.22201492371014428,0.7779850762898558
16,8.02675585284281,0.06,0.92,0.9926511597734867,0.0073488402265131075,0.20791977614112114,0.7920802238588791
17,8.528428093645484,0.06,0.92,0.9902639910243446,0.009736008975655096,0.1944990201437843,0.8055009798562159
18,9.03010033444816,0.06,0.92,0.9870356055921548,0.012964394407844956,0.18174992978301824,0.8182500702169822
19,9.531772575250836,0.06,0.92,0.9826593591799603,0.01734064082003938,0.16966583648882036,0.83033416351118
20,10.033444816053512,0.06,0.92,0.9767200124953103,0.02327998750468952,0.15823665745099288,0.8417633425490074
21,10.535117056856187,0.06,0.92,0.9686615944526784,0.03133840554732141,0.14744943121174048,0.8525505687882599
22,11.036789297658864,0.06,0.92,0.9577526623647706,0.04224733763522914,0.13728884508947325,0.8627111549105271
