,time,beta,sigma_D,sigma_C,S,I,C,D
0,0.0,0.875,0.3333333333333333,0.5,0.9998,0.0002,0.5,0.5
1,0.200133422281521,0.875,0.3333333333333333,0.5,0.9997837173884724,0.00021628261152761196,0.48750295858576337,0.5124970414142367
2,0.400266844563042,0.875,0.3333333333333333,0.5,0.9997657954864941,0.00023420451350594876,0.47502221069522693,0.5249777893047728
3,0.600400266844563,0.875,0.3333333333333333,0.5,0.9997460444975438,0.0002539555024562438,0.46257336801453897,0.5374266319854607
4,0.800533689126084,0.875,0.3333333333333333,0.5,0.9997242510428787,0.0002757489571214249,0.4501718693368545,0.5498281306631453
5,1.0006671114076051,0.875,0.3333333333333333,0.5,0.9997001745256897,0.0002998254743103294,0.43783292596433016,0.5621670740356696
6,1.200800533689126,0.875,0.3333333333333333,0.5,0.9996735430971966,0.0003264569028035616,0.4255714460302739,0.5744285539697257
7,1.400933955970647,0.875,0.3333333333333333,0.5,0.9996440502535834,0.0003559497464167639,0.4134019691217382,0.5865980308782615
8,1.601067378252168,0.875,0.3333333333333333,0.5,0.9996113494988408,0.0003886505011592906,0.4013385977085234,0.5986614022914762
9,1.801200800533689,0.875,0.3333333333333333,0.5,0.9995750487102325,0.0004249512897676532,0.3893949348749309,0.6106050651250688
10,2.0013342228152102,0.875,0.3333333333333333,0.5,0.9995347041541421,0.00046529584585807077,0.37758403048092537,0.6224159695190743
11,2.201467645096731,0.875,0.3333333333333333,0.5,0.9994898151277659,0.000510184872234309,0.3659183450269451,0.6340816549730546
12,2.401601067378252,0.875,0.3333333333333333,0.5,0.9994398112293269,0.0005601887706732199,0.35440966427903603,0.6455903357209637
13,2.601734489659773,0.875,0.3333333333333333,0.5,0.9993840461045456,0.0006159538954546521,0.34306908736751585,0.6569309126324839
14,2.801867911941294,0.875,0.3333333333333333,0.5,0.9993217877099486,0.0006782122900515294,0.3319070100548297,0.6680929899451701
15,3.002001334222815,0.875,0.3333333333333333,0.5,0.9992522036274448,0.0007477963725553146,0.32093307651324904,0.6790669234867508
16,3.202134756504336,0.875,0.3333333333333333,0.5,0.999174349353861,0.0008256506461392227,0.31015616232133864,0.6898438376786611
17,3.402268178785857,0.875,0.3333333333333333,0.5,0.9990871492137402,0.0009128507862600207,0.29958436978110675,0.700415630218893
18,3.602401601067378,0.875,0.3333333333333333,0.5,0.998989381748305,0.0010106182516952424,0.28922500959969716,0.7107749904003027
