,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d
0,0.0,0.5416666666666666,0.2,0.29166666666666663,0.5,0.09995999999999998,0.89964,3.999999999999999e-05,0.00036
1,0.200133422281521,0.5416666666666666,0.2,0.29166666666666663,0.5,0.09641449590863564,0.9031601317384175,4.549134186622104e-05,0.0003798810110808937
2,0.400266844563042,0.5416666666666666,0.2,0.29166666666666663,0.5,0.09298181136098055,0.9065659328974006,5.128399593905219e-05,0.00040097174567989594
3,0.600400266844563,0.5416666666666666,0.2,0.29166666666666663,0.5,0.08965926190360485,0.9098599914904405,5.738863574691396e-05,0.0004233579702077714
4,0.800533689126084,0.5416666666666666,0.2,0.29166666666666663,0.5,0.08644418129091333,0.9130448705277854,6.381662288321503e-05,0.0004471315584180744
5,1.0006671114076051,0.5416666666666666,0.2,0.29166666666666663,0.5,0.08333390848383522,0.9161231180846384,7.058030676076983e-05,0.0004723931247655764
6,1.200800533689126,0.5416666666666666,0.2,0.29166666666666663,0.5,0.08032578234343721,0.9190972826818559,7.7691999709827e-05,0.0004992429749970408
7,1.400933955970647,0.5416666666666666,0.2,0.29166666666666663,0.5,0.07741716858111276,0.9219698684952826,8.516573102336755e-05,0.0005277971925811956
8,1.601067378252168,0.5416666666666666,0.2,0.29166666666666663,0.5,0.07460543745320047,0.9247433721570183,9.301582462241949e-05,0.0005581745651588156
9,1.801200800533689,0.5416666666666666,0.2,0.29166666666666663,0.5,0.07188798076427058,0.9274202604522954,0.00010125738672394498,0.0005905013967100111
10,2.0013342228152102,0.5416666666666666,0.2,0.29166666666666663,0.5,0.06926222876712748,0.9300029445119972,0.00010990716657623294,0.0006249195542991765
11,2.201467645096731,0.5416666666666666,0.2,0.29166666666666663,0.5,0.0667256387770979,0.9324937992264403,0.00011898271229463805,0.0006615792841671932
12,2.401601067378252,0.5416666666666666,0.2,0.29166666666666663,0.5,0.06427568895152239,0.9348951708774087,0.00012850226756037813,0.0007006379035085148
13,2.601734489659773,0.5416666666666666,0.2,0.29166666666666663,0.5,0.06190990898989345,0.937209335354014,0.0001384857327290421,0.0007422699233635674
14,2.801867911941294,0.5416666666666666,0.2,0.29166666666666663,0.5,0.05962584944680303,0.9394385399911018,0.00014895365353569565,0.000786656908559527
15,3.002001334222815,0.5416666666666666,0.2,0.29166666666666663,0.5,0.057421111507654395,0.9415849628119449,0.00015992815350567805,0.000833997526895093
16,3.202134756504336,0.5416666666666666,0.2,0.29166666666666663,0.5,0.055293325712717986,0.9436507411136394,0.0001714322433327095,0.0008845009303098827
17,3.402268178785857,0.5416666666666666,0.2,0.29166666666666663,0.5,0.05324018347817151,0.9456379282639692,0.00018349080304206115,0.0009383974548172484
18,3.602401601067378,0.5416666666666666,0.2,0.29166666666666663,0.5,0.0512594167849337,0.9475485201255456,0.00019613003258857039,0.000995933056932126
19,3.802535023348899,0.5416666666666666,0.2,0.29166666666666663,0.5,0.04934879688714805,0.9493844553173999,0.00020937745433768787,0.0010573703411142941
20,4.0026684456304205,0.5416666666666666,0.2,0.29166666666666663,0.5,0.047506148971984304,0.951147595895044,0.00022326232186167927,0.0011229928111099136
21,4.202801867911941,0.5416666666666666,0.2,0.29166666666666663,0.5,0.045729339285465714,0.9528397414044787,0.00023781530816197621,0.0011931040018935304
22,4.402935290193462,0.5416666666666666,0.2,0.29166666666666663,0.5,0.04401628412205915,0.9544626183919122,0.00025306877374638945,0.0012680287122821782
23,4.603068712474983,0.5416666666666666,0.2,0.29166666666666663,0.5,0.04236495059496677,0.9560178731149663,0.0002690570294246647,0.0013481192606421232
24,4.803202134756504,0.5416666666666666,0.2,0.29166666666666663,0.5,0.04077335393347981,0.9575070791968106,0.0002858160871374755,0.0014337507825720325
25,5.003335557038025,0.5416666666666666,0.2,0.29166666666666663,0.5,0.03923955951002186,0.9589317257212171,0.0003033840810547075,0.0015253306877062844
