,Model,Imax,Tmax,Ifinal,Cfinal,Iosc,Cosc
0,SP,0.06690517070001675,4.341208837015422,0.15808629402696855,0.4173285683515179,2.6272,3.1808
1,PA,0.07375720834318701,1.7565318882867862,0.09752463986444332,0.09046400061032138,0.9904,1.0288
2,SC,0.014007058862594278,0.9171821592330139,0.04072664278790216,0.00495482572336871,0.8448,0.904
3,SP+PA,0.09423421421688082,18.85965819091288,0.23663112528707805,0.3919760143676628,2.8448,3.4896
4,SP+SC,0.0664556827491864,6.368253438932888,0.17542905199035272,0.4198722848182306,2.9072,3.4512
5,PA+SC,0.0754447125558307,2.917815756565236,0.1505806316053888,0.047054765026428184,1.1856,1.2336
6,SC+SP+PA,0.0927396442056999,17.170354314297622,0.25162914096648364,0.3658426751165389,2.9808,3.5088
