,Model,Imax,Tmax,Ifinal,Cfinal,Iosc,Cosc
0,SP,0.004800087104869543,0.0648270112546892,4.407016772202166e-06,1.2227015466477198e-06,0.0,0.0
1,PA,0.0007968546045570035,0.15686536056690284,0.006434787885712002,0.0021285437853580235,0.0,0.0
2,SC,0.0009296856186886796,0.19548145060441843,0.037465556347739494,0.02089065135788562,0.2672,0.4976
3,SP+PA,0.004822401769462463,0.1390579408086702,0.0030490149984730317,0.0009886937924489818,0.0,0.0
4,SP+SC,0.004743873407360328,0.18467694872863685,0.01456193687566753,0.008269696249923362,0.0736,0.1376
5,PA+SC,0.001731381425646532,0.3281367236348479,0.050845845975628856,0.02467877311019389,0.2096,0.472
6,SC+SP+PA,0.004910251946053429,0.2853188828678616,0.024245993351401304,0.012137299620373,0.0,0.1072
