,Model,Imax,Tmax,Ifinal,Cfinal,Iosc,Cosc
0,Full-SP,0.007891814986252908,2.068579052701801,0.11052235451570007,0.10620249579550045,1.4176,1.712
1,Full-PA,0.01581410338552515,10.38836557705137,0.038208859110409506,0.014263185342766124,0.2144,0.2384
2,Full-SC,0.0007371861577420398,0.35223482321547717,0.011723326943857942,0.013743791847270264,0.1536,0.1904
