,time,sigma,beta,omega,alpha,S,I,C,D
0,0.0,0.95,45.5,0.5353535353535354,1.373737373737374,0.9998,0.0002,0.5,0.5
1,0.5016722408026756,0.95,45.5,0.5353535353535354,1.373737373737374,0.009178714058721445,0.990821285941279,0.48162245197959863,0.5183775480204006
2,1.0033444816053512,0.95,45.5,0.5353535353535354,1.373737373737374,0.005170558255292839,0.9948294417447079,0.5001944535844743,0.49980554641552477
3,1.5050167224080266,0.95,45.5,0.5353535353535354,1.373737373737374,0.005267399288875536,0.9947326007111252,0.5187746700651831,0.4812253299348162
4,2.0066889632107023,0.95,45.5,0.5353535353535354,1.373737373737374,0.005365776042714272,0.9946342239572866,0.5372988509144196,0.46270114908557974
5,2.508361204013378,0.95,45.5,0.5353535353535354,1.373737373737374,0.005465427617920622,0.9945345723820803,0.5557163462207848,0.4442836537792145
6,3.0100334448160533,0.95,45.5,0.5353535353535354,1.373737373737374,0.005566082323493898,0.994433917676507,0.573977685412313,0.42602231458768614
7,3.511705685618729,0.95,45.5,0.5353535353535354,1.373737373737374,0.005667457797865496,0.9943325422021355,0.5920351465160454,0.40796485348395334
8,4.013377926421405,0.95,45.5,0.5353535353535354,1.373737373737374,0.005769263945306201,0.9942307360546948,0.6098431697906067,0.390156830209392
9,4.51505016722408,0.95,45.5,0.5353535353535354,1.373737373737374,0.005871207251337334,0.9941287927486637,0.6273589235876754,0.3726410764123234
10,5.016722408026756,0.95,45.5,0.5353535353535354,1.373737373737374,0.005972992381219526,0.9940270076187815,0.6445425437667736,0.35545745623322533
11,5.518394648829432,0.95,45.5,0.5353535353535354,1.373737373737374,0.006074327046885541,0.9939256729531155,0.6613574690924763,0.3386425309075224
12,6.020066889632107,0.95,45.5,0.5353535353535354,1.373737373737374,0.006174924318603119,0.993825075681398,0.6777707084177432,0.32222929158225544
13,6.521739130434782,0.95,45.5,0.5353535353535354,1.373737373737374,0.006274507179619415,0.9937254928203817,0.6937530264308818,0.30624697356911695
14,7.023411371237458,0.95,45.5,0.5353535353535354,1.373737373737374,0.006372810765984526,0.9936271892340166,0.7092790301853484,0.29072096981465023
15,7.525083612040134,0.95,45.5,0.5353535353535354,1.373737373737374,0.006469584350388189,0.9935304156496129,0.7243272152278649,0.27567278477213375
16,8.02675585284281,0.95,45.5,0.5353535353535354,1.373737373737374,0.0065645950254080935,0.9934354049745929,0.7388799346722067,0.26112006532779203
17,8.528428093645484,0.95,45.5,0.5353535353535354,1.373737373737374,0.006657628395610033,0.993342371604391,0.7529233611071359,0.2470766388928629
18,9.03010033444816,0.95,45.5,0.5353535353535354,1.373737373737374,0.006748491183593957,0.993251508816407,0.766447314608421,0.2335526853915778
19,9.531772575250836,0.95,45.5,0.5353535353535354,1.373737373737374,0.006837011194507183,0.9931629888054938,0.7794451229419667,0.22055487705803237
20,10.033444816053512,0.95,45.5,0.5353535353535354,1.373737373737374,0.0069230391640723475,0.9930769608359287,0.7919133977829628,0.2080866022170364
21,10.535117056856187,0.95,45.5,0.5353535353535354,1.373737373737374,0.007006447871374423,0.9929935521286266,0.8038518189338969,0.1961481810661024
22,11.036789297658864,0.95,45.5,0.5353535353535354,1.373737373737374,0.007087131835900181,0.9929128681641008,0.815262877798555,0.18473712220144445
23,11.538461538461538,0.95,45.5,0.5353535353535354,1.373737373737374,0.0071650094284339836,0.9928349905715671,0.8261516377098059,0.17384836229019357
24,12.040133779264213,0.95,45.5,0.5353535353535354,1.373737373737374,0.007240019695808147,0.9927599803041929,0.8365254369536275,0.16347456304637253
25,12.54180602006689,0.95,45.5,0.5353535353535354,1.373737373737374,0.007312118537055522,0.9926878814629454,0.8463936039007717,0.1536063960992284
26,13.043478260869565,0.95,45.5,0.5353535353535354,1.373737373737374,0.007381285039239861,0.992618714960761,0.8557672212361676,0.14423277876383198
27,13.545150501672241,0.95,45.5,0.5353535353535354,1.373737373737374,0.007447519664769014,0.9925524803352319,0.8646588751206793,0.13534112487932046
28,14.046822742474916,0.95,45.5,0.5353535353535354,1.373737373737374,0.007510826067281239,0.9924891739327196,0.8730823927967878,0.12691760720321305
29,14.548494983277592,0.95,45.5,0.5353535353535354,1.373737373737374,0.0075712299605472716,0.9924287700394536,0.8810526049134252,0.11894739508657419
30,15.050167224080267,0.95,45.5,0.5353535353535354,1.373737373737374,0.007628781765045753,0.9923712182349551,0.8885851297045148,0.11141487029548286
31,15.551839464882944,0.95,45.5,0.5353535353535354,1.373737373737374,0.007683530165100899,0.9923164698349,0.8956961779711994,0.10430382202880045
32,16.05351170568562,0.95,45.5,0.5353535353535354,1.373737373737374,0.007735519958591486,0.9922644800414093,0.9024023724299036,0.0975976275700981
33,16.555183946488295,0.95,45.5,0.5353535353535354,1.373737373737374,0.007784829872494528,0.9922151701275064,0.9087205820856974,0.0912794179143002
34,17.05685618729097,0.95,45.5,0.5353535353535354,1.373737373737374,0.007831560373924266,0.9921684396260766,0.9146677758983763,0.08533222410162013
35,17.558528428093645,0.95,45.5,0.5353535353535354,1.373737373737374,0.007875767687496222,0.9921242323125046,0.9202608927354974,0.07973910726450552
36,18.06020066889632,0.95,45.5,0.5353535353535354,1.373737373737374,0.007917517537361083,0.9920824824626397,0.9255167273556878,0.07448327264431653
37,18.561872909698998,0.95,45.5,0.5353535353535354,1.373737373737374,0.007956955906139365,0.9920430440938615,0.9304518440954939,0.06954815590450948
38,19.06354515050167,0.95,45.5,0.5353535353535354,1.373737373737374,0.007994129037164753,0.9920058709628361,0.9350824894012502,0.0649175105987528
